Individuo,Tempo de execucao,Accuracy,F1 Score
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 18}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}}",0.0312955379486084,0.6483516483516484,0.6977815915986585
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 14}, 'classifier_params': {'max_depth': 1, 'min_samples_split': 15, 'random_state': 42}}",0.02101898193359375,0.5494505494505495,0.42855581918081925
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 41}, 'classifier_params': {'max_depth': 8, 'min_samples_split': 4, 'random_state': 42}}",0.05596303939819336,0.6813186813186813,0.658218079947052
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.4923939865527778}, 'feature_selection_params': {'k': 12}, 'classifier_params': {'max_depth': 1, 'min_samples_split': 10, 'random_state': 42}}",0.01955556869506836,0.5494505494505495,0.42855581918081925
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.6676102249756207}, 'feature_selection_params': {'k': 36}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 9, 'random_state': 42}}",0.02094554901123047,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.34223456414847}, 'feature_selection_params': {'k': 32}, 'classifier_params': {'max_depth': 8, 'min_samples_split': 13, 'random_state': 42}}",0.023993492126464844,0.7142857142857143,0.7274745401119027
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 15}, 'classifier_params': {'max_depth': 5, 'min_samples_split': 10, 'random_state': 42}}",0.02452397346496582,0.6043956043956044,0.5801029198544725
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 19}, 'classifier_params': {'max_depth': 5, 'min_samples_split': 17, 'random_state': 42}}",0.026036500930786133,0.6813186813186813,0.6368251511595927
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.3388088439567004}, 'feature_selection_params': {'k': 22}, 'classifier_params': {'max_depth': 10, 'min_samples_split': 6, 'random_state': 42}}",0.025997161865234375,0.6703296703296703,0.6667972291734668
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.8888476959466995}, 'feature_selection_params': {'k': 15}, 'classifier_params': {'max_depth': 9, 'min_samples_split': 8, 'random_state': 42}}",0.02197265625,0.5604395604395604,0.6908757908757909
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 28}, 'classifier_params': {'max_depth': 8, 'min_samples_split': 15, 'random_state': 42}}",0.0365447998046875,0.7142857142857143,0.6795448665702453
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 47}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 18, 'random_state': 42}}",0.02555537223815918,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 28}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 2, 'random_state': 42}}",0.027996063232421875,0.5824175824175825,0.4996728934782032
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 46}, 'classifier_params': {'max_depth': 3, 'min_samples_split': 16, 'random_state': 42}}",0.027054309844970703,0.6373626373626373,0.6293184529443758
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 16}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 18, 'random_state': 42}}",0.06458234786987305,0.5934065934065934,0.4870872717026563
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 24}, 'classifier_params': {'max_depth': 9, 'min_samples_split': 10, 'random_state': 42}}",0.06623506546020508,0.6813186813186813,0.6989339491239028
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 45}, 'classifier_params': {'max_depth': 5, 'min_samples_split': 9, 'random_state': 42}}",0.06427264213562012,0.6483516483516484,0.638850521459217
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 19}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 16, 'random_state': 42}}",0.05982804298400879,0.5824175824175825,0.4996728934782032
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 48}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 13, 'random_state': 42}}",0.029797077178955078,0.6703296703296703,0.683428829071031
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 19}, 'classifier_params': {'max_depth': 10, 'min_samples_split': 12, 'random_state': 42}}",0.03020167350769043,0.6703296703296703,0.6487704603089218
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 31}, 'classifier_params': {'max_depth': 10, 'min_samples_split': 12, 'random_state': 42}}",0.03591275215148926,0.7252747252747253,0.7028290031471887
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 46}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 11, 'random_state': 42}}",0.026781320571899414,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 24}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 11, 'random_state': 42}}",0.02358222007751465,0.6923076923076923,0.7132595559780027
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 27}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 4, 'random_state': 42}}",0.027530193328857422,0.6923076923076923,0.6779472710089671
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 23}, 'classifier_params': {'max_depth': 8, 'min_samples_split': 10, 'random_state': 42}}",0.02665543556213379,0.6813186813186813,0.7033955069835188
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 26}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 15, 'random_state': 42}}",0.025522708892822266,0.5824175824175825,0.4996728934782032
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.9343833061305837}, 'feature_selection_params': {'k': 24}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 13, 'random_state': 42}}",0.02251577377319336,0.7032967032967034,0.7249487085804222
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 37}, 'classifier_params': {'max_depth': 6, 'min_samples_split': 15, 'random_state': 42}}",0.024562358856201172,0.6923076923076923,0.6988577838201898
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 47}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 20, 'random_state': 42}}",0.05281829833984375,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 22}, 'classifier_params': {'max_depth': 1, 'min_samples_split': 14, 'random_state': 42}}",0.02098679542541504,0.5494505494505495,0.42855581918081925
